filename,dc.contributor.author,dc.contributor.translator,dc.date.issued,dc.description[en],dc.identifier.citation[en],dc.identifier.DOI,dc.identifier.issn,dc.language.iso[en],dc.publisher[en],dc.title[en],dc.type[en],prism.issueIdentifier[en],prism.publicationName[en],prism.volume[en]
0302036.pdf,"Gilkes, Dana",,2005,,"Dana Gilkes, ""Calabash Moon,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 2 (Fall-Winter 2005), https://doi.org/10.33682/cdrc-gn6r",https://doi.org/10.33682/cdrc-gn6r,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Calabash Moon,Article,2,Calabash: a Journal of Caribbean Arts and Letters,3
0302038.pdf,"Gilkes, Dana",,2005,,"Dana Gilkes, ""Codename: Breadfruit,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 2 (Fall-Winter 2005), https://doi.org/10.33682/u7xp-08s9",https://doi.org/10.33682/u7xp-08s9,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Codename: Breadfruit,Article,2,Calabash: a Journal of Caribbean Arts and Letters,3
0302040.pdf,"Gilkes, Dana",,2005,,"Dana Gilkes, ""Dispatch, A Scene from Paradise Lost,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 2 (Fall-Winter 2005), https://doi.org/10.33682/cnj9-rnzn",https://doi.org/10.33682/cnj9-rnzn,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,"Dispatch, A Scene from Paradise Lost",Article,2,Calabash: a Journal of Caribbean Arts and Letters,3
0302042.pdf,"Gilkes, Dana",,2005,,"Dana Gilkes, ""Kettles and Whisling Holes,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 2 (Fall-Winter 2005), https://doi.org/10.33682/9w8z-x2yq",https://doi.org/10.33682/9w8z-x2yq,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Kettles and Whisling Holes,Article,2,Calabash: a Journal of Caribbean Arts and Letters,3
0302045.pdf,"Gilkes, Dana",,2005,,"Dana Gilkes, ""Like Unto A Mustard Seed,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 2 (Fall-Winter 2005), https://doi.org/10.33682/617x-q57g",https://doi.org/10.33682/617x-q57g,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Like Unto A Mustard Seed,Article,2,Calabash: a Journal of Caribbean Arts and Letters,3
0302046.pdf,"Gilkes, Dana",,2005,,"Dana Gilkes, ""Summer Essence,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 2 (Fall-Winter 2005), https://doi.org/10.33682/hw9y-jwm2",https://doi.org/10.33682/hw9y-jwm2,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Summer Essence,Article,2,Calabash: a Journal of Caribbean Arts and Letters,3
0302048.pdf,"Gilkes, Dana",,2005,,"Dana Gilkes, ""The Home Liberation Front,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 2 (Fall-Winter 2005), https://doi.org/10.33682/km0e-33ma",https://doi.org/10.33682/km0e-33ma,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,The Home Liberation Front,Article,2,Calabash: a Journal of Caribbean Arts and Letters,3
0302050.pdf,"Gilkes, Dana",,2005,,"Dana Gilkes, ""Woe and Redemption,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 2 (Fall-Winter 2005), https://doi.org/10.33682/q2j4-jtt0",https://doi.org/10.33682/q2j4-jtt0,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Woe and Redemption,Article,2,Calabash: a Journal of Caribbean Arts and Letters,3
0302066.pdf,"Peters, Trevor",,2005,,"Trevor Peters, ""The Nation Mourns,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 2 (Fall-Winter 2005), https://doi.org/10.33682/ku0e-fczc",https://doi.org/10.33682/ku0e-fczc,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,The Nation Mourns,Article,2,Calabash: a Journal of Caribbean Arts and Letters,3
0302069.pdf,"Jimenez, Sandy",,2005,,"Sandy Jimenez, ""Notes About the Moon my Favorite Stellar Body of the Moment in Half Translation,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 2 (Fall-Winter 2005), https://doi.org/10.33682/krq2-c63b",https://doi.org/10.33682/krq2-c63b,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Notes About the Moon my Favorite Stellar Body of the Moment in Half Translation,Article,2,Calabash: a Journal of Caribbean Arts and Letters,3
0302070.pdf,"Ortiz, Jina",,2005,,"Jina Ortiz, ""Six Poems About the Little Island of Mine,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 2 (Fall-Winter 2005), https://doi.org/10.33682/bwe6-1v8r",https://doi.org/10.33682/bwe6-1v8r,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Six Poems About the Little Island of Mine,Article,2,Calabash: a Journal of Caribbean Arts and Letters,3
0302073.pdf,"Ortiz, Jina",,2005,,"Jina Ortiz, ""Seis Poemas de mi Isla Pequeña,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 2 (Fall-Winter 2005), https://doi.org/10.33682/w0ke-x7ft",https://doi.org/10.33682/w0ke-x7ft,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Seis Poemas de mi Isla Pequeña,Article,2,Calabash: a Journal of Caribbean Arts and Letters,3
0302086.pdf,"Rogers, Nadine",,2005,,"Nadine Rogers, ""For the Girls,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 2 (Fall-Winter 2005), https://doi.org/10.33682/4xmz-bzq1",https://doi.org/10.33682/4xmz-bzq1,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,For the Girls,Article,2,Calabash: a Journal of Caribbean Arts and Letters,3
0302088.pdf,"Rogers, Nadine",,2005,,"Nadine Rogers, ""December Clean,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 2 (Fall-Winter 2005), https://doi.org/10.33682/8pz7-k76r",https://doi.org/10.33682/8pz7-k76r,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,December Clean,Article,2,Calabash: a Journal of Caribbean Arts and Letters,3
0302089.pdf,"Rogers, Nadine",,2005,,"Nadine Rogers, ""Haiku,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 2 (Fall-Winter 2005), https://doi.org/10.33682/t7b7-3rc2",https://doi.org/10.33682/t7b7-3rc2,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Haiku,Article,2,Calabash: a Journal of Caribbean Arts and Letters,3
0302090.pdf,"Rogers, Nadine",,2005,,"Nadine Rogers, ""Sojouner's Song,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 2 (Fall-Winter 2005), https://doi.org/10.33682/4baa-5dnr",https://doi.org/10.33682/4baa-5dnr,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Sojouner's Song,Article,2,Calabash: a Journal of Caribbean Arts and Letters,3
0302159.pdf,"Tung, Suelin Low Chew",,2005,,"Suelin Low Chew Tung, ""Creative Arts: Grenada's Best Practice,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 2 (Fall-Winter 2005), https://doi.org/10.33682/nuzz-kfua",https://doi.org/10.33682/nuzz-kfua,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Creative Arts: Grenada's Best Practice,Article,2,Calabash: a Journal of Caribbean Arts and Letters,3
gallery.pdf,"Tung, Suelin Low Chew||Mains, Susan||Mains, Asher||Brathwaite, Roger||Benoit, Oliver",,2005,,"Suelin Low Chew Tung, Susan Mains, Asher Mains, Roger Brathwaite, Oliver Benoit, ""Gallery of Grenadian Artists,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 2 (Fall-Winter 2005), https://doi.org/10.33682/0cxf-42m3",https://doi.org/10.33682/0cxf-42m3,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Gallery of Grenadian Artists,Article,2,Calabash: a Journal of Caribbean Arts and Letters,3
0302068.pdf,"Ross, Jacob",,2005,,"Jacob Ross, ""Pynter Bender,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 2 (Fall-Winter 2005), https://doi.org/10.33682/nc7a-tzc6",https://doi.org/10.33682/nc7a-tzc6,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Pynter Bender,Article,2,Calabash: a Journal of Caribbean Arts and Letters,3
0302084.pdf,"James, Keshia",,2005,,"Keshia James, ""Gone,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 2 (Fall-Winter 2005), https://doi.org/10.33682/yadw-whfn",https://doi.org/10.33682/yadw-whfn,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Gone,Article,2,Calabash: a Journal of Caribbean Arts and Letters,3
0302098.pdf,"James, Keshia",,2005,,"Keshia James, ""Still Here,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 2 (Fall-Winter 2005), https://doi.org/10.33682/z64z-0v0u",https://doi.org/10.33682/z64z-0v0u,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Still Here,Article,2,Calabash: a Journal of Caribbean Arts and Letters,3
0302164.pdf,"Roberts, Maureen",,2005,,"Maureen Roberts, ""Slow Down Freight Train,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 2 (Fall-Winter 2005), https://doi.org/10.33682/afrs-yv7g",https://doi.org/10.33682/afrs-yv7g,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Slow Down Freight Train,Article,2,Calabash: a Journal of Caribbean Arts and Letters,3
0302053.pdf,"Bishop, Jacqueline||McLean, Dolace",,2005,,"Jacqueline Bishop, Dolace McLean, ""Working out Grenada: , An Interview With Merle Collins,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 2 (Fall-Winter 2005), https://doi.org/10.33682/3ds9-uswj",https://doi.org/10.33682/3ds9-uswj,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,"Working out Grenada: , An Interview With Merle Collins",Article,2,Calabash: a Journal of Caribbean Arts and Letters,3
0302076.pdf,"Ruiz, Maria Luisa",,2005,,"Maria Luisa Ruiz, ""Redifining the Concept of God: , A Review of Yván Silén's La Muerte De Mamá,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 2 (Fall-Winter 2005), https://doi.org/10.33682/zgc1-npm5",https://doi.org/10.33682/zgc1-npm5,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,"Redifining the Concept of God: , A Review of Yván Silén's La Muerte De Mamá",Article,2,Calabash: a Journal of Caribbean Arts and Letters,3
0302080.pdf,"Ruiz, Maria Luisa",,2005,,"Maria Luisa Ruiz, ""Una Resena De La Muerte De Mama De Yvan Silen,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 2 (Fall-Winter 2005), https://doi.org/10.33682/hvfb-0yra",https://doi.org/10.33682/hvfb-0yra,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Una Resena De La Muerte De Mama De Yvan Silen,Article,2,Calabash: a Journal of Caribbean Arts and Letters,3
preface.pdf,"McLean, Dolace",,2005,,"Dolace McLean, ""Preface: A Tribute To Grenada,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 2 (Fall-Winter 2005), https://doi.org/10.33682/7ent-f9yp",https://doi.org/10.33682/7ent-f9yp,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Preface: A Tribute To Grenada,Article,2,Calabash: a Journal of Caribbean Arts and Letters,3
0302001.pdf,"Tung, Suelin Low Chew",,2005,,"Suelin Low Chew Tung, ""Please Help the Grenada Arts Council,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 2 (Fall-Winter 2005), https://doi.org/10.33682/tdhh-9r8x",https://doi.org/10.33682/tdhh-9r8x,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Please Help the Grenada Arts Council,Article,2,Calabash: a Journal of Caribbean Arts and Letters,3
0302003.pdf,"Simón, Monique S.",,2005,,"Monique S. Simón, ""Night Light (Ode to Bolans Village, Antigua-'Home'),"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 2 (Fall-Winter 2005), https://doi.org/10.33682/7wk3-pr48",https://doi.org/10.33682/7wk3-pr48,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,"Night Light (Ode to Bolans Village, Antigua-'Home')",Article,2,Calabash: a Journal of Caribbean Arts and Letters,3
0302005.pdf,"Simón, Monique S.",,2005,,"Monique S. Simón, ""Color of Love,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 2 (Fall-Winter 2005), https://doi.org/10.33682/xcsd-b5be",https://doi.org/10.33682/xcsd-b5be,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Color of Love,Article,2,Calabash: a Journal of Caribbean Arts and Letters,3
0302094.pdf,"Jagdeo, Genessa",,2005,,"Genessa Jagdeo, ""Mixed Gyal,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 2 (Fall-Winter 2005), https://doi.org/10.33682/zu87-jzmr",https://doi.org/10.33682/zu87-jzmr,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Mixed Gyal,Article,2,Calabash: a Journal of Caribbean Arts and Letters,3
0302095.pdf,"David, Paula",,2005,,"Paula David, ""Sunday Morning,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 2 (Fall-Winter 2005), https://doi.org/10.33682/q0et-bbkh",https://doi.org/10.33682/q0et-bbkh,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Sunday Morning,Article,2,Calabash: a Journal of Caribbean Arts and Letters,3
0302119.pdf,"David, Paula",,2005,,"Paula David, ""Swan Song,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 2 (Fall-Winter 2005), https://doi.org/10.33682/6wk4-pjbu",https://doi.org/10.33682/6wk4-pjbu,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Swan Song,Article,2,Calabash: a Journal of Caribbean Arts and Letters,3
